ダウンロードした時刻：2018/05/03 13:49:14

,つくば（館野）,つくば（館野）,つくば（館野）,つくば（館野）,つくば（館野）,つくば（館野）,つくば（館野）,つくば（館野）,つくば（館野）,つくば（館野）,つくば（館野）,つくば（館野）,つくば（館野）,つくば（館野）,つくば（館野）,つくば（館野）,つくば（館野）,つくば（館野）,つくば（館野）,つくば（館野）,つくば（館野）,つくば（館野）,つくば（館野）
年月日,平均気温(℃),平均気温(℃),平均気温(℃),最低気温(℃),最低気温(℃),最低気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),平均風速(m/s),平均風速(m/s),平均風速(m/s),平均雲量(10分比),平均雲量(10分比),平均雲量(10分比)
,,,,,,,,,,,,,,,,,,,,,,,
,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
2017/1/1,4.0,8,1,-3.0,8,1,13.3,8,1,0,1,8,1,9.5,0,8,1,1.4,8,1,,0,1
2017/1/2,3.9,8,1,-1.4,8,1,12.5,8,1,0,1,8,1,4.9,0,8,1,1.3,8,1,,0,1
2017/1/3,4.8,8,1,-2.2,8,1,13.8,8,1,0,1,8,1,9.3,0,8,1,2.0,8,1,,0,1
2017/1/4,5.7,8,1,-2.4,8,1,14.1,8,1,0,1,8,1,9.2,0,8,1,2.3,8,1,,0,1
2017/1/5,3.6,8,1,-3.2,8,1,9.7,8,1,0,1,8,1,8.9,0,8,1,1.8,8,1,,0,1
2017/1/6,0.7,8,1,-5.6,8,1,8.3,8,1,0,1,8,1,8.1,0,8,1,1.3,8,1,,0,1
2017/1/7,0.8,8,1,-5.9,8,1,8.8,8,1,0,1,8,1,9.3,0,8,1,1.1,8,1,,0,1
2017/1/8,3.0,8,1,-4.2,8,1,8.6,8,1,9.5,0,8,1,0.3,0,8,1,2.2,8,1,,0,1
2017/1/9,5.6,8,1,0.5,8,1,10.7,8,1,6.0,0,8,1,1.6,0,8,1,3.6,8,1,,0,1
